Kanji,Kana,Romaji,Type,Meaning,Tone,Example Sentence,Example Translation
愛,あい,ai,名词,爱,1,母の愛は海より深い。,母爱比海深。
夫婦,ふうふ,fuufu,名词,夫妇/夫妻,1,彼らは似た者夫婦だ。,他们是一对很有夫妻相的夫妇。
間,あいだ,aida,名词,期间;中间,0,バスとバスの間隔が長い。,公交车和公交车的间隔很长。
距離,きょり,kyori,名词,距离,1,学校までの距離を測る。,测量到学校的距离。
差,さ,sa,名词,差异;区别,0,実力の差は明らかだ。,实力的差距很明显。
違い,ちがい,chigai,名词,差异;错误,0,習慣の違いに驚く。,对习惯的差异感到惊讶。
青,あお,ao,名词,蓝色;青色,1,信号が青に変わった。,信号灯变绿了。
水滴,すいてき,suiteki,名词,水滴,0,葉に水滴が光っている。,叶子上的水滴在闪光。
湖,みずうみ,mizuumi,名词,湖;湖泊,3,静かな湖のほとりを歩く。,走在安静的湖畔。
波,なみ,nami,名词,波浪;趋势,2,今日は波が高い。,今天的浪很高。
汗,あせ,ase,名词,汗,1,スポーツをして汗をかいた。,运动后流了汗。
息,いき,iki,名词,呼吸;步调,1,息を深く吸い込む。,深深地吸了一口气。
普段,ふだん,fudan,副词,平常;平时,1,普段は眼鏡をかけている。,平时戴着眼镜。
考え,かんがえ,kangae,名词,想法;意见,3,君の考えを聞かせてほしい。,希望能听听你的想法。
見解,けんかい,kenkai,名词,见解;看法,0,その問題について見解を述べる。,阐述关于那个问题的见解。
提案,ていあん,teian,名词/他动词,提案;建议,0,新しい企画を提案する。,提出新的企划。
見送り,みおくり,miokuri,名词/他动词,送行;暂缓,0,空港まで友人の見送りに行った。,去机场给朋友送行了。
岩,いわ,iwa,名词,岩石,2,波が岩に打ち寄せている。,波浪拍打着岩石。
牛,うし,ushi,名词,牛,0,牧場で牛が草を食べている。,牛在牧场里吃草。
虎,とら,tora,名词,老虎,0,虎はネコ科の動物だ。,老虎是猫科动物。
馬,うま,uma,名词,马,2,草原を馬が走っている。,马在草原上奔跑。
鶏,にわとり,niwatori,名词,鸡,0,朝早く鶏が鳴いた。,一大早鸡就叫了。
運転,うんてん,unten,名词/他动词,驾驶,0,安全運転を心がける。,注意安全驾驶。
免許,めんきょ,menkyo,名词,执照;许可,1,車の運転免許を取った。,拿到了汽车驾驶执照。
運動,うんどう,undoo,名词/自动词,运动;活动,0,健康のために毎日運動している。,为了健康每天都在运动。
筋肉,きんにく,kinniku,名词,肌肉,1,ジムで筋肉を鍛える。,在健身房锻炼肌肉。
大会,たいかい,taikai,名词,大会;大赛,0,スピーチ大会に出場する。,参加演讲比赛。
勝ち,かち,kachi,名词,赢;胜,2,チームの勝ちが決まった。,队伍的胜利已成定局。
負け,まけ,make,名词,输;败,0,負けを認めるのも勇気だ。,承认失败也是一种勇气。
嘘,うそ,uso,名词,谎言,1,彼は平気で嘘をつく。,他若无其事地撒谎。
男性,だんせい,dansee,名词,男性,0,理想の男性と結婚したい。,想和理想的男性结婚。
女性,じょせい,josee,名词,女性,0,この店は女性に人気がある。,这家店很受女性欢迎。
化粧,けしょう,keshoo,名词/自动词,化妆,2,彼女は化粧に時間がかかる。,她化妆很花时间。
口紅,くちべに,kuchibeni,名词,口红,0,明るい色の口紅を塗る。,涂亮色的口红。
高齢,こうれい,kooree,名词,高龄,0,高齢化社会が進んでいる。,老龄化社会正在发展。
年寄り,としより,toshiyori,名词,老人,3,お年寄りには席を譲りましょう。,给老人让座吧。
年上,としうえ,toshiue,名词,年长,0,彼は私より三つ年上だ。,他比我大三岁。
目上,めうえ,meue,名词,长辈;上司,0,目上の人には敬語を使う。,对长辈要使用敬语。
先輩,せんぱい,senpai,名词,前辈,0,会社の先輩に相談する。,和公司的前辈商量。
後輩,こうはい,koohai,名词,晚辈;后辈,0,後輩の指導を任された。,被委派指导后辈。
部下,ぶか,buka,名词,下属,1,上司として部下を守る。,作为上司要保护下属。
同僚,どうりょう,dooryoo,名词,同事,0,同僚と飲みに行った。,和同事去喝酒了。
相手,あいて,aite,名词,对手;对象,3,テニスの練習相手を探す。,寻找网球的练习对手。
知人,ちじん,chijin,名词,熟人,0,パーティーで知人に会った。,在派对上遇到了熟人。
友情,ゆうじょう,yuujoo,名词,友情,0,彼との友情は一生続く。,和他的友情会持续一生。
仲,なか,naka,名词,关系,1,二人はとても仲がいい。,他们两人关系很好。
味方,みかた,mikata,名词,同伴;支持者,0,私はいつでもあなたの味方です。,我永远是你的同伴。
生年月日,せいねんがっぴ,seenengappi,名词,出生年月日,5,書類に生年月日を記入する。,在文件上填写出生年月日。
出身,しゅっしん,shusshin,名词,出身;籍贯,0,ご出身はどちらですか。,您是哪里人？
合格,ごうかく,gookaku,名词/自动词,合格;及格,0,大学に合格して嬉しい。,考上大学很开心。
進学,しんがく,shingaku,名词/自动词,升学,0,大学院への進学を決めた。,决定去研究生院深造。
退学,たいがく,taigaku,名词/自动词,退学,0,病気で大学を退学した。,因病从大学退学了。
就職,しゅうしょく,shuushoku,名词/自动词,就业,0,希望の会社に就職できた。,在理想的公司就业了。
退職,たいしょく,taishoku,名词/自动词,辞职;退休,0,定年で会社を退職する。,到了退休年龄从公司退休。
定年,ていねん,teenen,名词,退休年龄,0,父は来年定年を迎える。,父亲明年迎来退休。
